  Natural Resources Canada,Geological Survey of Canada,Geoscience Data Repository,BASIN Database
Date: January 18,2021,12:24 pm AST

Well Name,Basin,Subbasin,Latitude (NAD27),Longitude (NAD27),Northing (NAD27),Easting (NAD27),Latitude (NAD83),Longitude (NAD83),Northing (NAD83),Easting (NAD83),Zone (UTM)
GRAND BANKS COREHOLE #22,WHALE BASIN,,45.7383,-51.2253,5064778,482472,45.7383,-51.2242,5064996,482558,22
GRAND BANKS COREHOLE #22A,WHALE BASIN,,45.7383,-51.2253,5064778,482472,45.7383,-51.2242,5064996,482558,22
GRAND BANKS COREHOLE #22C,WHALE BASIN,,45.7383,-51.2253,5064778,482472,45.7383,-51.2242,5064996,482558,22
GRAND BANKS COREHOLE #23,BONAVISTA PLATFORM?,,45.63,-53.55,5055884,301231,45.63,-53.55,5056102,301237,22
GRAND BANKS COREHOLE #25,SCOTIAN BASIN,SOUTH WHALE SUBBASIN,44.37,-53.45,4915672,304791,44.37,-53.45,4915889,304797,22
GRAND BANKS COREHOLE #27,SCOTIAN BASIN,SOUTH WHALE SUBBASIN,43.93,-52.62,4865158,369961,43.93,-52.62,4865374,369965,22
GRAND FALLS H-09,WHALE BASIN,,45.47194,-52.00083,5035649,421767,45.471906,-51.999767,5035861,421853,22
GROS MORNE C-17,JEANNE D'ARC BASIN,,,,,,46.603881,-48.040283,5165402,726666,22
GULL F-72,SCOTIAN BASIN,SOUTH WHALE SUBBASIN,44.19033,-52.44231,4893808,384731,44.190344,-52.4412,4894024,384823,22
HAMPDEN K-41,FLEMISH PASS BASIN,,,,,,47.008656,-46.86407,5207812,358308,23
HARP L-42A,FLEMISH PASS BASIN,,,,,,47.528269,-47.372478,5266599,321421,23
HEBRON D-94,JEANNE D'ARC BASIN,,46.550287,-48.497134,5158016,691875,46.550197,-48.496053,5158227,691952,22
HEBRON I-13,JEANNE D'ARC BASIN,,46.54276,-48.5293,5157102,689435,46.542675,-48.528217,5157314,689513,22
HEBRON L-93 1,JEANNE D'ARC BASIN,,,,,,46.544014,-48.497989,5157535,691826,22
HEBRON L-93 10,JEANNE D'ARC BASIN,,,,,,46.543953,-48.49795,5157529,691829,22
HEBRON L-93 11,JEANNE D'ARC BASIN,,,,,,46.544186,-48.498158,5157554,691812,22
HEBRON L-93 12,JEANNE D'ARC BASIN,,,,,,46.544053,-48.498114,5157539,691816,22
HEBRON L-93 13,JEANNE D'ARC BASIN,,,,,,46.544011,-48.498089,5157535,691818,22
HEBRON L-93 14,JEANNE D'ARC BASIN,,,,,,46.543997,-48.498047,5157533,691821,22
HEBRON L-93 15,JEANNE D'ARC BASIN,,,,,,46.544031,-48.481436,5157578,693095,22
HEBRON L-93 16,JEANNE D'ARC BASIN,,,,,,46.544142,-48.498064,5157549,691820,22
HEBRON L-93 17,JEANNE D'ARC BASIN,,,,,,46.543969,-48.498064,5157530,691820,22
HEBRON L-93 18,JEANNE D'ARC BASIN,,,,,,46.544072,-48.498128,5157541,691815,22
HEBRON L-93 19,JEANNE D'ARC BASIN,,,,,,46.543928,-48.498042,5157526,691822,22
HEBRON L-93 2,JEANNE D'ARC BASIN,,,,,,46.544014,-48.497989,5157535,691826,22
HEBRON L-93 20,JEANNE D'ARC BASIN,,,,,,46.544119,-48.49805,5157547,691821,22
HEBRON L-93 21,JEANNE D'ARC BASIN,,,,,,46.544017,-48.497986,5157536,691826,22
HEBRON L-93 22,JEANNE D'ARC BASIN,,,,,,46.544091,-48.498068,5157544,691820,22
HEBRON L-93 23,JEANNE D'ARC BASIN,,,,,,46.543949,-48.498054,5157528,691821,22
HEBRON L-93 3,JEANNE D'ARC BASIN,,,,,,46.544017,-48.498061,5157536,691820,22
HEBRON L-93 4,JEANNE D'ARC BASIN,,,,,,46.544061,-48.498083,5157540,691818,22
HEBRON L-93 4Z,JEANNE D'ARC BASIN,,,,,,46.544061,-48.498083,5157540,691818,22
HEBRON L-93 5,JEANNE D'ARC BASIN,,,,,,46.544181,-48.498086,5157554,691818,22
HEBRON L-93 6,JEANNE D'ARC BASIN,,,,,,46.544097,-48.498036,5157544,691822,22
HEBRON L-93 7,JEANNE D'ARC BASIN,,,,,,46.544081,-48.498097,5157543,691817,22
HEBRON L-93 8,JEANNE D'ARC BASIN,,,,,,46.544036,-48.498,5157538,691825,22
HEBRON L-93 9,JEANNE D'ARC BASIN,,,,,,46.544094,-48.498139,5157544,691814,22
HEBRON M-04,JEANNE D'ARC BASIN,,46.562784,-48.5246,5159338,689726,46.562694,-48.523519,5159549,689803,22
HERMINE E-94,SCOTIAN BASIN,BURIN PLATFORM,45.39147,-54.49853,5029266,695812,45.391464,-54.497592,5029485,695880,21
HERON H-73,SCOTIAN BASIN,SOUTH WHALE SUBBASIN,44.04074,-52.42794,4877173,385591,44.040761,-52.426828,4877390,385683,22
HERON J-72,SCOTIAN BASIN,SOUTH WHALE SUBBASIN,44.02604,-52.43573,4875551,384938,44.026064,-52.434614,4875768,385031,22
HIBERNIA B-08,JEANNE D'ARC BASIN,,46.7851,-48.7583,5183505,671111,46.785011,-48.757219,5183716,671189,22
HIBERNIA B-16 1,JEANNE D'ARC BASIN,,46.750435,-48.782624,5179601,669363,46.750349,-48.781547,5179812,669441,22
HIBERNIA B-16 10,JEANNE D'ARC BASIN,,,,,,46.750349,-48.781455,5179812,669448,22
HIBERNIA B-16 10Y,JEANNE D'ARC BASIN,,46.750438,-48.782533,5179601,669370,46.750349,-48.781455,5179812,669448,22
HIBERNIA B-16 10Z,JEANNE D'ARC BASIN,,46.750438,-48.782533,5179601,669370,46.750349,-48.781455,5179812,669448,22
HIBERNIA B-16 11,JEANNE D'ARC BASIN,,46.750683,-48.782844,5179628,669346,46.750594,-48.781767,5179839,669423,22
HIBERNIA B-16 11Z,JEANNE D'ARC BASIN,,46.750683,-48.782844,5179628,669346,46.750594,-48.781767,5179839,669423,22
HIBERNIA B-16 12,JEANNE D'ARC BASIN,,,,,,46.750547,-48.781744,5179833,669425,22
HIBERNIA B-16 13,JEANNE D'ARC BASIN,,46.750713,-48.782891,5179631,669342,46.750625,-48.781814,5179842,669419,22
HIBERNIA B-16 13Z,JEANNE D'ARC BASIN,,46.750713,-48.782891,5179631,669342,46.750625,-48.781814,5179842,669419,22
HIBERNIA B-16 14,JEANNE D'ARC BASIN,,,,,,46.750349,-48.781501,5179812,669444,22
HIBERNIA B-16 14V,JEANNE D'ARC BASIN,,,,,,46.75035,-48.7815,5179812,669444,22
HIBERNIA B-16 14W,JEANNE D'ARC BASIN,,,,,,46.750349,-48.781501,5179812,669444,22
HIBERNIA B-16 14X,JEANNE D'ARC BASIN,,,,,,46.750349,-48.781501,5179812,669444,22
HIBERNIA B-16 14Y,JEANNE D'ARC BASIN,,,,,,46.750349,-48.781501,5179812,669444,22
HIBERNIA B-16 14Z,JEANNE D'ARC BASIN,,,,,,46.750349,-48.781501,5179812,669444,22
HIBERNIA B-16 15,JEANNE D'ARC BASIN,,,,,,46.750564,-48.781767,5179835,669423,22
HIBERNIA B-16 15Y,JEANNE D'ARC BASIN,,,,,,46.750563,-48.781767,5179835,669423,22
HIBERNIA B-16 15Z,JEANNE D'ARC BASIN,,,,,,46.750563,-48.781767,5179835,669423,22
HIBERNIA B-16 16,JEANNE D'ARC BASIN,,,,,,46.750546,-48.781837,5179833,669418,22
HIBERNIA B-16 16Z,JEANNE D'ARC BASIN,,46.750635,-48.782913,5179622,669341,46.750547,-48.781836,5179833,669418,22
