  Natural Resources Canada,Geological Survey of Canada,Geoscience Data Repository,BASIN Database
Date: January 18,2021,12:05 pm AST

Well Name,GSC #,Unique Well Identifier,Original Spud Year,Operator,Area,Basin,Status
GRAND BANKS COREHOLE #22,D057,900 018 45500 51000,1965,PAN AM-IMPERIAL,Grand Banks,WHALE BASIN,ABAND
GRAND BANKS COREHOLE #22A,D058,900 018 45500 51001,1965,PAN AM-IMPERIAL,Grand Banks,WHALE BASIN,ABAND
GRAND BANKS COREHOLE #22C,D059,900 018 45500 51003,N/A,PAN AM-IMPERIAL,Grand Banks,WHALE BASIN,ABAND
GRAND BANKS COREHOLE #23,D060,900 019 45400 53300,1965,PAN AM-IMPERIAL,Grand Banks,BONAVISTA PLATFORM?,ABAND
GRAND BANKS COREHOLE #25,D061,900 029 44300 53300,N/A,PAN AM-IMPERIAL,Grand Banks,SCOTIAN BASIN,ABAND
GRAND BANKS COREHOLE #27,D062,900 030 44000 52300,1965,PAN AM-IMPERIAL,Grand Banks,SCOTIAN BASIN,ABAND
GRAND FALLS H-09,D026,300 H09 45300 52000,1966,PAN AM-IMPERIAL,Grand Banks,WHALE BASIN,P&A
GROS MORNE C-17,N225,300 C17 46400 48000,2002,HUSKY,Grand Banks,JEANNE D'ARC BASIN,ABAND
GULL F-72,D036,300 F72 44200 52150,1972,AMOCO-IMPERIAL,Grand Banks,SCOTIAN BASIN,P&A
HAMPDEN K-41,N492,300 K41 47100 46450,2020,EXXONMOBIL,Grand Banks,FLEMISH PASS BASIN,SUSP
HARP L-42A,N480,300 L42 47400 47150,2019,EXXONMOBIL ET AL,Grand Banks,FLEMISH PASS BASIN,ABAND
HEBRON D-94,N158,300 D94 46400 48150,1998,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
HEBRON I-13,D196,300 I13 46400 48300,1981,MOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
HEBRON L-93 1,N443,300 L93 46400 48150,2017,EXXONMOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
HEBRON L-93 10,N470,310 L93 46400 48150,2019,EXXONMOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
HEBRON L-93 11,N469,311 L93 46400 48150,2019,EXXONMOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
HEBRON L-93 12,N473,312 L93 46400 48150,2019,EXXONMOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
HEBRON L-93 13,N476,313 L93 46400 48150,2019,EXXONMOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
HEBRON L-93 14,N478,314 L93 46400 48150,2019,EXXONMOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
HEBRON L-93 15,N482,315 L93 46400 48150,2019,EXXONMOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
HEBRON L-93 16,N484,316 L93 46400 48150,2019,EXXONMOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
