  Natural Resources Canada,Geological Survey of Canada,Geoscience Data Repository,BASIN Database
Date: January 18,2021,12:05 pm AST

Well Name,GSC #,Unique Well Identifier,Original Spud Year,Operator,Area,Basin,Status
WHITEROSE B-07 10,N335,310 B07 46500 48000,2008,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
WHITEROSE B-07 10Z,N337,310 B07 46500 48001,2008,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
WHITEROSE B-07 11,N375,311 B07 46500 48000,2012,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
WHITEROSE B-07 2,N246,302 B07 46500 48000,2003,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
WHITEROSE B-07 3,N248,303 B07 46500 48000,2003,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
WHITEROSE B-07 4,N251,304 B07 46500 48000,2003,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
WHITEROSE B-07 5,N247,305 B07 46500 48000,2003,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
WHITEROSE B-07 6,N250,306 B07 46500 48000,2003,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
WHITEROSE B-07 7,N249,307 B07 46500 48000,2003,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,SUSP
WHITEROSE B-07 8,N245,308 B07 46500 48000,2003,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
WHITEROSE B-07 9,N269,309 B07 46500 48000,2004,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
WHITEROSE B-19,N287,300 B19 46500 48000,2005,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
WHITEROSE B-19Z,N288,300 B19 46500 48001,2005,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
WHITEROSE C-30,N321,300 C30 46500 48000,2007,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
WHITEROSE C-30Z,N323,300 C30 46500 48001,2007,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
WHITEROSE E-09,D309,300 E09 46500 48000,1987,HUSKY/BOW VALLEY ET AL,Grand Banks,JEANNE D'ARC BASIN,P&S
WHITEROSE E-18 1,N272,300 E18 46500 48000,2004,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
WHITEROSE E-18 10,N356,310 E18 46500 48000,2010,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
WHITEROSE E-18 11,N367,311 E18 46500 48000,2011,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
WHITEROSE E-18 13,N461,313 E18 46500 48000,2018,HUSKY OIL ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
WHITEROSE E-18 14,N462,314 E18 46500 48000,2018,HUSKY OIL ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
WHITEROSE E-18 2,N270,302 E18 46500 48000,2004,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
WHITEROSE E-18 3,N271,303 E18 46500 48000,2004,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,SUSP
WHITEROSE E-18 4,N294,304 E18 46500 48000,2005,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
WHITEROSE E-18 5,N296,305 E18 46500 48000,2006,HUSKY,Grand Banks,JEANNE D'ARC BASIN,INJEC
WHITEROSE E-18 6,N297,306 E18 46500 48000,2006,HUSKY,Grand Banks,JEANNE D'ARC BASIN,ABAND
WHITEROSE E-18 6Z,N310,306 E18 46500 48001,2006,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
WHITEROSE E-18 7,N317,307 E18 46500 48000,2006,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
WHITEROSE E-18 8,N318,308 E18 46500 48000,2007,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
WHITEROSE E-18 9,N329,309 E18 46500 48000,2008,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
WHITEROSE E-28,N340,300 E28 46500 48000,2008,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
WHITEROSE F-04,N240,300 F04 46500 48000,2003,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
WHITEROSE F-04Z,N243,300 F04 46500 48001,2003,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
WHITEROSE H-20,N183,300 H20 46500 48000,2000,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
WHITEROSE H-70,N393,300 H70 46500 48000,2013,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
WHITEROSE H-70Z,N396,300 H70 46500 48001,2013,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
WHITEROSE J-05 1,N383,300 J05 46500 48000,2013,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
WHITEROSE J-05 2,N406,302 J05 46500 48000,2014,HUSKY OIL ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
WHITEROSE J-05 3,N405,303 J05 46500 48000,2014,HUSKY OIL ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
WHITEROSE J-05 4,N431,304 J05 46500 48000,2016,HUSKY OIL ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
WHITEROSE J-05 5,N432,305 J05 46500 48000,2016,HUSKY OIL ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
WHITEROSE J-05 6,N437,306 J05 46500 48000,2017,HUSKY OIL ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
WHITEROSE J-05 7,N438,307 J05 46500 48000,2017,HUSKY OIL ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
WHITEROSE J-22 1,N258,300 J22 47000 48000,2004,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
WHITEROSE J-22 2,N259,302 J22 47000 48000,2004,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
WHITEROSE J-22 3,N341,303 J22 47000 48000,2008,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
WHITEROSE J-49,D278,300 J49 46500 48000,1985,HUSKY/BOW VALLEY ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
WHITEROSE K-03,N327,300 K03 47000 48000,2007,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
WHITEROSE L-08,N163,300 L08 46500 48000,1999,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,SUSP
WHITEROSE L-61,D286,300 L61 47000 48000,1985,HUSKY/BOW VALLEY ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
WHITEROSE N-22,D253,300 N22 47000 48000,1984,HUSKY/BOW VALLEY ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
WHITEROSE N-30,N174,300 N30 46500 48000,1999,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,SUSP
WHITEROSE O-28,N298,300 O28 46500 48000,2006,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
WHITEROSE O-28X,N305,300 O28 46500 48003,2006,HUSKY,Grand Banks,JEANNE D'ARC BASIN,ABAND
WHITEROSE O-28Y,N301,300 O28 46500 48002,2006,HUSKY ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
WHITEROSE O-28Z,N300,300 O28 46500 48001,2006,HUSKY,Grand Banks,JEANNE D'ARC BASIN,ABAND
